SQL_SignatoryStateId,API_SignatoryStateId,SQL_Id,API_Id,SQL_AddressName,API_AddressName,SQL_AddressLine1,API_AddressLine1,SQL_AddressLine2,API_AddressLine2,SQL_AddressLine3,API_AddressLine3,SQL_StateOrCounty,API_StateOrCounty,SQL_City,API_City,SQL_Country,API_Country,SQL_PostCode,API_PostCode,SQL_PrimaryAddress,API_PrimaryAddress,SQL_isThePrimaryAddress,API_isThePrimaryAddress,Test Case Status
717,717,775,775,Swedish Transport Agency,Swedish Transport Agency,Civil Aviation and Maritime Department,Civil Aviation and Maritime Department,,,,,,,SE-601 73 NorrkÖping,SE-601 73 NorrkÖping,SWEDEN,SWEDEN,,,false,false,False,false,Test Case Passed
716,716,774,774,Jordan Maritime Commission ,Jordan Maritime Commission ,P.O. Box: 171 Aqaba 77110,P.O. Box: 171 Aqaba 77110,,,,,,,Aqaba,Aqaba,JORDAN,JORDAN,,,false,false,False,false,Test Case Passed
713,713,773,773,Registrar of Ships ,Registrar of Ships ,Merchant Shipping Division,Merchant Shipping Division,Ministry of Highways  Ports & Shipping,Ministry of Highways  Ports & Shipping,1st Floor  Bristol Building  43-89 York Street,1st Floor  Bristol Building  43-89 York Street,,,Colombo 01,Colombo 01,SRI LANKA,SRI LANKA,,,false,false,False,false,Test Case Passed
712,712,772,772,Registrar of Ships ,Registrar of Ships ,Merchant Shipping Division ,Merchant Shipping Division ,Ministry of Highways  Ports & Shipping,Ministry of Highways  Ports & Shipping,1st Floor  Bristol Building  43-89  York Street,1st Floor  Bristol Building  43-89  York Street,,,Colombo 01,Colombo 01,SRI LANKA,SRI LANKA,,,false,false,False,false,Test Case Passed
711,711,764,764,Ministry of Maritime Affairs  ,Ministry of Maritime Affairs  ,Transport and Infrastructure Safety of Navigation  ,Transport and Infrastructure Safety of Navigation  ,Maritime Environment and Inland Waters Protection Directorate,Maritime Environment and Inland Waters Protection Directorate,10 000 Zagreb  ,10 000 Zagreb  ,,,Prisavlje 14,Prisavlje 14,CROATIA  REPUBLIC OF,CROATIA  REPUBLIC OF,,,false,false,False,false,Test Case Passed
710,710,760,760,Shipping Division  Maritime and Port Authority of Singapore ,Shipping Division  Maritime and Port Authority of Singapore ,460 Alexandra Road ,460 Alexandra Road ,#21-00  PSA Building,#21-00  PSA Building,,,,,Singapore,Singapore,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,119963,119963,false,false,False,false,Test Case Passed
709,709,742,742,Marine Department of Thailand,Marine Department of Thailand,1278  Yotha Rd.  Talat Noi  ,1278  Yotha Rd.  Talat Noi  ,Samphanthawong,Samphanthawong,,,,,Bangkok,Bangkok,THAILAND,THAILAND,10100,10100,false,false,False,false,Test Case Passed
708,708,741,741,Marine Department of Thailand,Marine Department of Thailand,1278  Yotha Rd.  Talat Noi  ,1278  Yotha Rd.  Talat Noi  ,Samphanthawong ,Samphanthawong ,,,,,Bangkok,Bangkok,THAILAND,THAILAND,10100,10100,false,false,False,false,Test Case Passed
707,707,739,739,Federal Public Service Mobility and Transport,Federal Public Service Mobility and Transport,Directorate General Shipping,Directorate General Shipping,City Atrium ,City Atrium ,Vooruitgangstraat 56 / Rue du Progres 56,Vooruitgangstraat 56 / Rue du Progres 56,,,B-1210 Brussels,B-1210 Brussels,BELGIUM,BELGIUM,,,false,false,False,false,Test Case Passed
706,706,738,738,Finnish Transport Safety Agency Trafi,Finnish Transport Safety Agency Trafi,Marine Environment and Security,Marine Environment and Security,PO Box 320,PO Box 320,,,,,FI-00101 Helsinki,FI-00101 Helsinki,FINLAND,FINLAND,,,false,false,False,false,Test Case Passed
