SQL_ApplicationId,SQL_TransactionId,API_TransactionId,SQL_Workflowid,API_Workflowid,SQL_DisplayName,API_DisplayName,SQL_StartDate,API_StartDate,SQL_EndDate,API_EndDate,SQL_AppliedDate,API_AppliedDate,SQL_TransactionStatus,API_TransactionStatus,SQL_TransactionSequence,API_TransactionSequence,SQL_TransactionSubTypeOtherDescription,SQL_TransactionSubTypeOtherDescription,SQL_ReasonForChange,API_ReasonForChange,Status
76148,274978,274978,47F13519-76F0-407C-937A-3B3EBB46B67D,47f13519-76f0-407c-937a-3b3ebb46b67d,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-27 12:24:56.5733407 +00:00,2021-01-27T12:24:56.5733407+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76147,274969,274969,0479C789-C48C-4EDD-BF45-0C26ED43A65B,0479c789-c48c-4edd-bf45-0c26ed43a65b,QUOTETRANSACTION,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,2021-01-27 12:23:37.69935 +00:00,2021-01-27T12:23:37.69935+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76146,275031,275031,B83DB4B1-A7D4-4E3E-B505-B276C98DB2CD,b83db4b1-a7d4-4e3e-b505-b276c98db2cd,QUOTETRANSACTION,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,2021-01-27 11:34:01.9404263 +00:00,2021-01-27T11:34:01.9404263+00:00,Not Taken Up,Not Taken Up,2,2,null,null,null,null,Test Case Passed
76146,274961,274961,D08F8DBD-4904-44B3-B44E-B593CC2EAF35,d08f8dbd-4904-44b3-b44e-b593cc2eaf35,QUOTETRANSACTION,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,2021-01-27 11:07:36.0263106 +00:00,2021-01-27T11:07:36.0263106+00:00,Not Taken Up,Not Taken Up,1,1,null,null,null,null,Test Case Passed
76146,275032,275032,FCF35196-003C-40B1-9A45-AB8808473B3B,fcf35196-003c-40b1-9a45-ab8808473b3b,QUOTETRANSACTION,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,2021-01-27 12:21:48.5871877 +00:00,2021-01-27T12:21:48.5871877+00:00,Bound,Bound,3,3,null,null,null,null,Test Case Passed
76144,274951,274951,7F45D65A-D2A7-4FE3-83A7-3A9D9DD8E22C,7f45d65a-d2a7-4fe3-83a7-3a9d9dd8e22c,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-15 10:03:55.3894225 +00:00,2021-01-15T10:03:55.3894225+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76140,274930,274930,891FBE2A-94DE-4E88-B4D9-0F97BD993DDA,891fbe2a-94de-4e88-b4d9-0f97bd993dda,QUOTETRANSACTION,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,2021-01-07 18:01:31.5556786 +00:00,2021-01-07T18:01:31.5556786+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76136,274906,274906,3AEEE4FD-2C0B-49FB-8186-23860C551C5A,3aeee4fd-2c0b-49fb-8186-23860c551c5a,QUOTETRANSACTION,QUOTETRANSACTION,2020-10-10 12:00:00 +00:00,2020-10-10T12:00:00+00:00,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2021-01-06 15:42:14.1933296 +00:00,2021-01-06T15:42:14.1933296+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76126,274885,274885,A5F0901C-E743-450C-8AFD-A0DEC709E451,a5f0901c-e743-450c-8afd-a0dec709e451,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 19:40:09.6847045 +00:00,2021-01-05T19:40:09.6847045+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76124,274882,274882,00E8E911-41F1-4563-B72F-09739A2E8733,00e8e911-41f1-4563-b72f-09739a2e8733,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 19:33:53.5043602 +00:00,2021-01-05T19:33:53.5043602+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76122,274876,274876,5AB70BCF-1E1D-4D0D-8CE9-9C70A564EFC5,5ab70bcf-1e1d-4d0d-8ce9-9c70a564efc5,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 19:07:43.1110945 +00:00,2021-01-05T19:07:43.1110945+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76120,274869,274869,FDEF0D99-9CAD-42F1-8089-9BC442B75DA9,fdef0d99-9cad-42f1-8089-9bc442b75da9,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 19:02:05.7650504 +00:00,2021-01-05T19:02:05.7650504+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76118,274864,274864,A5CA2AD2-64C8-4F71-88C8-055590E1BBC8,a5ca2ad2-64c8-4f71-88c8-055590e1bbc8,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-05 18:19:59.3202689 +00:00,2021-01-05T18:19:59.3202689+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76116,274861,274861,FC73BDCC-C9FA-438C-A6E3-FE49DCFD1F18,fc73bdcc-c9fa-438c-a6e3-fe49dcfd1f18,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-05 17:45:01.6490099 +00:00,2021-01-05T17:45:01.6490099+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
