SQL_RiskId,API_RiskId,SQL_RiskName,API_RiskName,SQL_RiskShortCode,API_RiskShortCode,Status
1,1,BARGES,BARGES,BAR,BAR,Test case passed
2,2,OFFSHORE CRAFT,OFFSHORE CRAFT,OFF,OFF,Test case passed
3,3,DRY CARGO VESSELS,DRY CARGO VESSELS,DRY,DRY,Test case passed
4,4,PASSENGER VESSELS,PASSENGER VESSELS,PAS,PAS,Test case passed
5,5,FISHING VESSELS,FISHING VESSELS,FIS,FIS,Test case passed
6,6,TANKERS,TANKERS,TAN,TAN,Test case passed
7,7,HARBOUR CRAFT,HARBOUR CRAFT,HAR,HAR,Test case passed
8,8,YACHTS,YACHTS,YAT,YAT,Test case passed
14,14,AUTONOMOUS VESSELS,AUTONOMOUS VESSELS,AUT,AUT,Test case passed
