SQL_ApplicationId,SQL_TransactionId,API_TransactionId,SQL_Workflowid,API_Workflowid,SQL_DisplayName,API_DisplayName,SQL_StartDate,API_StartDate,SQL_EndDate,API_EndDate,SQL_AppliedDate,API_AppliedDate,SQL_TransactionStatus,API_TransactionStatus,SQL_TransactionSequence,API_TransactionSequence,SQL_TransactionSubTypeOtherDescription,SQL_TransactionSubTypeOtherDescription,SQL_ReasonForChange,API_ReasonForChange,Status
76165,275055,275055,C1E00C6D-14D7-42E3-BCDB-AE8C2FDCCF92,c1e00c6d-14d7-42e3-bcdb-ae8c2fdccf92,RENEWALQUOTETRANSACTION,RENEWALQUOTETRANSACTION,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,2022-12-01 12:00:00 +00:00,2022-12-01T12:00:00+00:00,2021-02-03 16:47:32.9940473 +00:00,2021-02-03T16:47:32.9940473+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76164,275053,275053,0D280DB2-85B1-44B9-B812-CA1E1137262B,0d280db2-85b1-44b9-b812-ca1e1137262b,QUOTETRANSACTION,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76162,275048,275048,A61FB437-26F0-4F0F-84A4-96A148F45C5F,a61fb437-26f0-4f0f-84a4-96a148f45c5f,QUOTETRANSACTION,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,2021-02-03 16:31:26.0735325 +00:00,2021-02-03T16:31:26.0735325+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76156,275019,275019,D32A82FF-8BE1-4735-B311-61E8C759F0A3,d32a82ff-8be1-4735-b311-61e8c759f0a3,RENEWALQUOTETRANSACTION,RENEWALQUOTETRANSACTION,2021-01-19 12:00:00 +00:00,2021-01-19T12:00:00+00:00,2022-01-19 12:00:00 +00:00,2022-01-19T12:00:00+00:00,2021-01-19 15:28:04.3181071 +00:00,2021-01-19T15:28:04.3181071+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76154,275008,275008,F7FC8625-5624-4388-BA5D-DE5FBBD9A079,f7fc8625-5624-4388-ba5d-de5fbbd9a079,QUOTETRANSACTION,QUOTETRANSACTION,2020-10-21 12:00:00 +00:00,2020-10-21T12:00:00+00:00,2021-01-19 12:00:00 +00:00,2021-01-19T12:00:00+00:00,2021-01-19 15:13:30.282484 +00:00,2021-01-19T15:13:30.282484+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76151,275000,275000,E177625C-E1DC-4CCB-9EBD-30DE211A90E1,e177625c-e1dc-4ccb-9ebd-30de211a90e1,RENEWALQUOTETRANSACTION,RENEWALQUOTETRANSACTION,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,2022-12-01 12:00:00 +00:00,2022-12-01T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76149,274986,274986,FB28CFBD-3C75-4F61-9292-5EC356CE9EA7,fb28cfbd-3c75-4f61-9292-5ec356ce9ea7,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-27 12:25:56.7286515 +00:00,2021-01-27T12:25:56.7286515+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76148,274978,274978,47F13519-76F0-407C-937A-3B3EBB46B67D,47f13519-76f0-407c-937a-3b3ebb46b67d,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-27 12:24:56.5733407 +00:00,2021-01-27T12:24:56.5733407+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76147,274969,274969,0479C789-C48C-4EDD-BF45-0C26ED43A65B,0479c789-c48c-4edd-bf45-0c26ed43a65b,QUOTETRANSACTION,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,2021-01-27 12:23:37.69935 +00:00,2021-01-27T12:23:37.69935+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76146,275031,275031,B83DB4B1-A7D4-4E3E-B505-B276C98DB2CD,b83db4b1-a7d4-4e3e-b505-b276c98db2cd,QUOTETRANSACTION,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,2021-01-27 11:34:01.9404263 +00:00,2021-01-27T11:34:01.9404263+00:00,Not Taken Up,Not Taken Up,2,2,null,null,null,null,Test Case Passed
